team_id,team1_wins,team2_wins,team1_avgscore,team2_avgscore,team1_avgseed,team2_avgseed,pred
N_503_506,0,0,0,0,0,16,0
N_503_509,0,0,0,0,0,15,0
N_503_511,0,26,0,82.0769,0,4,0
N_503_512,0,1,0,84.0000,0,10,0
N_503_524,0,0,0,0,0,0,0
N_503_527,0,8,0,73.6250,0,6,0
N_503_535,0,6,0,67.5000,0,10,0
N_503_536,0,0,0,0,0,10,0
N_503_539,0,4,0,72.0000,0,7,0
N_503_547,0,2,0,74.0000,0,14,0
N_503_551,0,2,0,66.5000,0,6,0
N_503_552,0,0,0,0,0,0,0
N_503_559,0,27,0,77.9630,0,2,0
N_503_561,0,0,0,0,0,14,0
N_503_565,0,0,0,0,0,13,0
N_503_569,0,0,0,0,0,8,0
N_503_577,0,30,0,80.2667,0,2,0
N_503_586,0,0,0,0,0,14,0
N_503_595,0,1,0,96.0000,0,12,0
N_503_607,0,12,0,79.4167,0,7,0
N_503_623,0,17,0,78.0000,0,4,0
N_503_636,0,31,0,83.3548,0,2,0
N_503_651,0,14,0,77.6429,0,5,0
N_503_655,0,6,0,67.6667,0,5,0
N_503_660,0,6,0,79.1667,0,5,0
N_503_662,0,19,0,80.3158,0,3,0
N_503_666,0,12,0,78.3333,0,3,0
N_503_670,0,1,0,80.0000,0,5,0
N_503_671,0,26,0,72.5769,0,5,0
N_503_673,0,4,0,81.0000,0,5,0
N_503_675,0,8,0,72.2500,0,5,0
N_503_676,0,5,0,80.0000,0,8,0
N_503_682,0,0,0,0,0,0,0
N_503_683,0,0,0,0,0,0,0
N_503_689,0,0,0,0,0,0,0
N_503_708,0,29,0,80.1379,0,3,0
N_503_714,0,0,0,0,0,11,0
N_503_720,0,12,0,76.8333,0,3,0
N_503_721,0,12,0,75.3333,0,6,0
N_503_722,0,12,0,72.4167,0,6,0
N_503_731,0,10,0,73.1000,0,4,0
N_503_733,0,0,0,0,0,16,0
N_503_738,0,12,0,75.5833,0,6,0
N_503_740,0,0,0,0,0,16,0
N_503_745,0,0,0,0,0,0,0
N_503_765,0,0,0,0,0,0,0
N_503_766,0,2,0,82.0000,0,14,0
N_503_786,0,18,0,73.3333,0,4,0
N_503_789,0,9,0,70.6667,0,7,0
N_503_790,0,8,0,74.8750,0,4,0
N_503_793,0,19,0,75.6316,0,5,0
N_503_794,0,4,0,68.2500,0,8,0
N_503_810,0,24,0,74.2917,0,4,0
N_503_818,0,5,0,77.4000,0,6,0
N_503_821,0,15,0,70.6667,0,6,0
N_503_822,0,1,0,77.0000,0,13,0
N_503_825,0,1,0,79.0000,0,12,0
N_503_829,0,9,0,75.8889,0,6,0
N_503_835,0,2,0,86.5000,0,12,0
N_503_839,0,9,0,71.8889,0,3,0
N_503_840,0,6,0,79.5000,0,6,0
N_503_843,0,9,0,75.0000,0,7,0
N_503_849,0,14,0,69.0714,0,5,0
N_503_853,0,10,0,78.5000,0,7,0
N_506_509,0,0,0,0,16,15,0
N_506_511,0,26,0,82.0769,16,4,0
N_506_512,0,1,0,84.0000,16,10,0
N_506_524,0,0,0,0,16,0,0
N_506_527,0,8,0,73.6250,16,6,0
N_506_535,0,6,0,67.5000,16,10,0
N_506_536,0,0,0,0,16,10,0
N_506_539,0,4,0,72.0000,16,7,0
N_506_547,0,2,0,74.0000,16,14,0
N_506_551,0,2,0,66.5000,16,6,0
N_506_552,0,0,0,0,16,0,0
N_506_559,0,27,0,77.9630,16,2,0
N_506_561,0,0,0,0,16,14,0
N_506_565,0,0,0,0,16,13,0
N_506_569,0,0,0,0,16,8,0
N_506_577,0,30,0,80.2667,16,2,0
N_506_586,0,0,0,0,16,14,0
N_506_595,0,1,0,96.0000,16,12,0
N_506_607,0,12,0,79.4167,16,7,0
N_506_623,0,17,0,78.0000,16,4,0
N_506_636,0,31,0,83.3548,16,2,0
N_506_651,0,14,0,77.6429,16,5,0
N_506_655,0,6,0,67.6667,16,5,0
N_506_660,0,6,0,79.1667,16,5,0
N_506_662,0,19,0,80.3158,16,3,0
N_506_666,0,12,0,78.3333,16,3,0
N_506_670,0,1,0,80.0000,16,5,0
N_506_671,0,26,0,72.5769,16,5,0
N_506_673,0,4,0,81.0000,16,5,0
N_506_675,0,8,0,72.2500,16,5,0
N_506_676,0,5,0,80.0000,16,8,0
N_506_682,0,0,0,0,16,0,0
