id,pred
N_503_506,0.567
N_503_509,0.522
N_503_511,0.456
N_503_512,0.339
N_503_524,0.545
N_503_527,0.37
N_503_535,0.412
N_503_536,0.391
N_503_539,0.37
N_503_547,0.567
N_503_551,0.37
N_503_552,0.489
N_503_559,0.223
N_503_561,0.522
N_503_565,0.545
N_503_569,0.445
N_503_577,0.256
N_503_586,0.567
N_503_595,0.33
N_503_607,0.291
N_503_623,0.33
N_503_636,0.273
N_503_651,0.231
N_503_655,0.38
N_503_660,0.339
N_503_662,0.423
N_503_666,0.256
N_503_670,0.423
N_503_671,0.231
N_503_673,0.434
N_503_675,0.5
N_503_676,0.264
N_503_682,0.555
N_503_683,0.545
N_503_689,0.522
N_503_708,0.216
N_503_714,0.478
N_503_720,0.391
N_503_721,0.247
N_503_722,0.38
N_503_731,0.231
N_503_733,0.5
N_503_738,0.31
N_503_740,0.567
N_503_745,0.545
N_503_765,0.522
N_503_766,0.401
N_503_786,0.273
N_503_789,0.456
N_503_790,0.412
N_503_793,0.359
N_503_794,0.401
N_503_810,0.339
N_503_818,0.423
N_503_821,0.33
N_503_822,0.456
N_503_825,0.456
N_503_829,0.256
N_503_835,0.467
N_503_839,0.31
N_503_840,0.301
N_503_843,0.349
N_503_849,0.467
N_503_853,0.291
N_506_509,0.456
N_506_511,0.39
N_506_512,0.282
N_506_524,0.478
N_506_527,0.31
N_506_535,0.349
N_506_536,0.329
N_506_539,0.31
N_506_547,0.5
N_506_551,0.31
N_506_552,0.423
N_506_559,0.18
N_506_561,0.456
N_506_565,0.478
N_506_569,0.38
N_506_577,0.208
N_506_586,0.5
N_506_595,0.273
N_506_607,0.239
N_506_623,0.273
N_506_636,0.223
N_506_651,0.187
N_506_655,0.319
N_506_660,0.282
N_506_662,0.359
N_506_666,0.208
N_506_670,0.359
N_506_671,0.187
N_506_673,0.37
N_506_675,0.434
N_506_676,0.216
N_506_682,0.489
N_506_683,0.478
N_506_689,0.456
N_506_708,0.174
N_506_714,0.412
N_506_720,0.329
N_506_721,0.201
N_506_722,0.319
N_506_731,0.187
N_506_733,0.434
N_506_738,0.256
N_506_740,0.5
N_506_745,0.478
N_506_765,0.456
N_506_766,0.339
N_506_786,0.223
N_506_789,0.391
N_506_790,0.349
N_506_793,0.3
N_506_794,0.339
N_506_810,0.282
N_506_818,0.359
N_506_821,0.273
N_506_822,0.391
N_506_825,0.391
N_506_829,0.208
N_506_835,0.401
N_506_839,0.256
N_506_840,0.248
N_506_843,0.291
N_506_849,0.401
N_506_853,0.239
N_509_511,0.434
N_509_512,0.32
N_509_524,0.522
N_509_527,0.349
N_509_535,0.391
N_509_536,0.37
N_509_539,0.349
N_509_547,0.545
N_509_551,0.349
N_509_552,0.467
N_509_559,0.208
N_509_561,0.5
N_509_565,0.522
N_509_569,0.423
N_509_577,0.239
N_509_586,0.545
N_509_595,0.31
N_509_607,0.273
N_509_623,0.31
N_509_636,0.256
N_509_651,0.216
N_509_655,0.359
N_509_660,0.32
N_509_662,0.401
N_509_666,0.239
N_509_670,0.401
N_509_671,0.215
N_509_673,0.412
N_509_675,0.478
N_509_676,0.247
N_509_682,0.533
N_509_683,0.522
N_509_689,0.5
N_509_708,0.201
N_509_714,0.456
N_509_720,0.37
N_509_721,0.231
N_509_722,0.359
N_509_731,0.216
N_509_733,0.478
N_509_738,0.291
N_509_740,0.545
N_509_745,0.522
N_509_765,0.5
N_509_766,0.38
N_509_786,0.256
N_509_789,0.434
N_509_790,0.391
N_509_793,0.339
N_509_794,0.38
N_509_810,0.32
N_509_818,0.401
N_509_821,0.31
N_509_822,0.434
N_509_825,0.434
N_509_829,0.239
N_509_835,0.445
N_509_839,0.291
N_509_840,0.282
N_509_843,0.329
N_509_849,0.445
N_509_853,0.273
N_511_512,0.382
N_511_524,0.59
N_511_527,0.415
N_511_535,0.458
N_511_536,0.436
N_511_539,0.415
N_511_547,0.612
N_511_551,0.415
N_511_552,0.536
N_511_559,0.257
N_511_561,0.569
N_511_565,0.59
N_511_569,0.491
N_511_577,0.293
N_511_586,0.612
N_511_595,0.372
N_511_607,0.331
N_511_623,0.372
N_511_636,0.312
N_511_651,0.266
N_511_655,0.425
N_511_660,0.382
N_511_662,0.469
N_511_666,0.293
N_511_670,0.469
N_511_671,0.266
N_511_673,0.48
N_511_675,0.547
N_511_676,0.302
N_511_682,0.601
N_511_683,0.59
N_511_689,0.569
N_511_708,0.249
N_511_714,0.525
N_511_720,0.436
N_511_721,0.284
N_511_722,0.425
N_511_731,0.266
N_511_733,0.547
N_511_738,0.351
N_511_740,0.612
N_511_745,0.59
N_511_765,0.569
N_511_766,0.447
N_511_786,0.312
N_511_789,0.503
N_511_790,0.458
N_511_793,0.404
N_511_794,0.447
N_511_810,0.382
N_511_818,0.469
N_511_821,0.372
N_511_822,0.503
N_511_825,0.503
N_511_829,0.293
N_511_835,0.513
N_511_839,0.352
N_511_840,0.341
N_511_843,0.393
N_511_849,0.513
N_511_853,0.331
N_512_524,0.701
N_512_527,0.535
N_512_535,0.579
N_512_536,0.557
N_512_539,0.535
N_512_547,0.719
N_512_551,0.535
N_512_552,0.652
N_512_559,0.36
N_512_561,0.682
N_512_565,0.701
N_512_569,0.611
N_512_577,0.403
N_512_586,0.719
N_512_595,0.491
N_512_607,0.446
N_512_623,0.491
N_512_636,0.424
N_512_651,0.371
N_512_655,0.546
N_512_660,0.502
N_512_662,0.589
N_512_666,0.403
N_512_670,0.589
N_512_671,0.37
N_512_673,0.6
