pred,season,team1,team2,team1_wins,team1_wscore,team1_seed,team2_wins,team2_wscore,team2_seed
0,A,503,511,0,0,0,2,177,3
0,B,503,511,0,0,0,6,469,4
0,C,503,511,0,0,0,3,268,1
0,E,503,511,0,0,0,1,71,1
0,F,503,511,0,0,0,5,407,2
0,G,503,511,0,0,0,2,154,3
0,H,503,511,0,0,0,3,264,1
0,J,503,511,0,0,0,3,230,3
0,K,503,511,0,0,0,1,94,8
0,N,503,511,0,0,0,2,155,12
0,P,503,511,0,0,0,3,240,5
0,R,503,511,0,0,0,2,155,6
0,H,503,512,0,0,0,1,84,10
0,N,503,512,0,0,0,1,66,6
0,A,503,527,0,0,0,1,64,11
0,B,503,527,0,0,0,1,73,5
0,F,503,527,0,0,0,1,68,3
0,I,503,527,0,0,0,1,58,6
0,J,503,527,0,0,0,1,85,4
0,K,503,527,0,0,0,2,157,4
0,L,503,527,0,0,0,1,84,7
0,F,503,535,0,0,0,1,79,10
0,H,503,535,0,0,0,2,126,12
0,L,503,535,0,0,0,2,119,5
0,M,503,535,0,0,0,1,81,7
0,O,503,535,0,0,0,5,309,5
0,P,503,535,0,0,0,5,336,8
0,R,503,535,0,0,0,1,68,6
0,O,503,536,0,0,0,1,99,7
0,P,503,536,0,0,0,2,163,3
0,Q,503,536,0,0,0,1,78,14
0,B,503,539,0,0,0,2,130,5
0,G,503,539,0,0,0,1,82,6
0,H,503,539,0,0,0,1,76,8
0,O,503,539,0,0,0,1,77,8
0,R,503,539,0,0,0,1,64,12
0,B,503,547,0,0,0,2,148,14
0,B,503,551,0,0,0,2,133,4
0,P,503,551,0,0,0,1,70,12
0,N,503,552,0,0,0,1,84,13
0,A,503,559,0,0,0,2,163,1
0,C,503,559,0,0,0,3,246,2
0,D,503,559,0,0,0,6,455,1
0,E,503,559,0,0,0,1,75,5
0,G,503,559,0,0,0,3,226,2
0,H,503,559,0,0,0,2,143,5
0,I,503,559,0,0,0,6,463,2
0,J,503,559,0,0,0,1,77,2
0,K,503,559,0,0,0,3,257,1
0,N,503,559,0,0,0,4,349,1
0,P,503,559,0,0,0,6,398,3
0,O,503,561,0,0,0,2,165,12
0,N,503,569,0,0,0,1,68,11
0,B,503,577,0,0,0,1,71,2
0,C,503,577,0,0,0,3,258,1
0,D,503,577,0,0,0,5,427,1
0,E,503,577,0,0,0,2,151,1
0,F,503,577,0,0,0,6,521,1
0,G,503,577,0,0,0,2,168,1
0,H,503,577,0,0,0,2,153,3
0,I,503,577,0,0,0,4,324,1
0,J,503,577,0,0,0,2,120,1
0,K,503,577,0,0,0,2,144,1
0,M,503,577,0,0,0,1,71,2
0,N,503,577,0,0,0,2,160,2
0,O,503,577,0,0,0,6,428,1
0,P,503,577,0,0,0,2,160,1
0,R,503,577,0,0,0,3,210,2
0,C,503,595,0,0,0,1,96,12
0,P,503,595,0,0,0,2,128,10
0,Q,503,595,0,0,0,1,66,3
0,D,503,607,0,0,0,3,230,10
0,E,503,607,0,0,0,2,159,10
0,F,503,607,0,0,0,2,171,12
0,H,503,607,0,0,0,1,74,9
0,I,503,607,0,0,0,1,76,2
0,J,503,607,0,0,0,1,74,3
0,K,503,607,0,0,0,2,169,3
0,N,503,607,0,0,0,2,160,4
0,O,503,607,0,0,0,1,67,8
0,P,503,607,0,0,0,1,86,11
0,Q,503,607,0,0,0,1,77,7
0,R,503,607,0,0,0,1,64,1
0,B,503,623,0,0,0,1,90,6
0,C,503,623,0,0,0,1,64,5
0,E,503,623,0,0,0,1,68,4
0,F,503,623,0,0,0,3,255,1
0,G,503,623,0,0,0,2,165,4
0,H,503,623,0,0,0,1,65,4
0,I,503,623,0,0,0,2,164,5
0,J,503,623,0,0,0,5,377,1
0,K,503,623,0,0,0,1,78,4
0,P,503,623,0,0,0,1,73,9
0,R,503,623,0,0,0,1,57,7
0,A,503,636,0,0,0,3,251,2
0,B,503,636,0,0,0,2,153,1
0,C,503,636,0,0,0,1,110,1
0,D,503,636,0,0,0,1,95,6
0,E,503,636,0,0,0,1,81,8
0,F,503,636,0,0,0,2,186,4
0,G,503,636,0,0,0,4,333,1
0,H,503,636,0,0,0,5,413,2
0,I,503,636,0,0,0,3,256,4
0,L,503,636,0,0,0,3,256,1
0,M,503,636,0,0,0,6,450,1
0,N,503,636,0,0,0,2,144,3
0,O,503,636,0,0,0,1,90,1
0,P,503,636,0,0,0,3,222,1
0,Q,503,636,0,0,0,5,332,2
0,R,503,636,0,0,0,2,134,1
0,A,503,651,0,0,0,2,150,6
0,B,503,651,0,0,0,3,207,6
0,H,503,651,0,0,0,1,86,4
0,J,503,651,0,0,0,4,330,4
0,L,503,651,0,0,0,1,78,6
0,M,503,651,0,0,0,3,236,3
0,N,503,651,0,0,0,3,256,1
0,Q,503,651,0,0,0,4,257,4
0,R,503,651,0,0,0,6,477,1
0,E,503,655,0,0,0,2,136,4
0,K,503,655,0,0,0,4,270,4
0,N,503,655,0,0,0,1,75,8
0,A,503,660,0,0,0,1,68,4
0,H,503,660,0,0,0,4,333,3
0,M,503,660,0,0,0,1,74,6
0,N,503,660,0,0,0,1,58,6
0,P,503,660,0,0,0,2,132,11
0,Q,503,660,0,0,0,2,150,3
0,R,503,660,0,0,0,3,204,3
0,C,503,662,0,0,0,2,149,4
0,D,503,662,0,0,0,2,157,2
0,E,503,662,0,0,0,1,74,3
0,F,503,662,0,0,0,4,325,3
0,G,503,662,0,0,0,6,501,1
0,H,503,662,0,0,0,2,152,6
0,I,503,662,0,0,0,1,86,4
0,L,503,662,0,0,0,1,82,4
0,N,503,662,0,0,0,1,84,10
0,O,503,662,0,0,0,1,89,4
0,I,503,666,0,0,0,1,59,7
0,K,503,666,0,0,0,3,246,1
0,L,503,666,0,0,0,3,216,2
0,M,503,666,0,0,0,5,419,1
0,N,503,666,0,0,0,2,170,2
